Section Task,Keywords,Section Name,Section Type,Template Status,Text
01. Analysis \Analysis,Initial review and planning for the tax audit.,Audit Prep,,Published,01:30
01.1 Cronograma \Timeline,Establishing the schedule and key dates for the audit process.,Audit Prep,,Published,02:30
01.2 Aviso IRS? \IRS letter?,Determining if an IRS audit notification has been received.,Audit Prep,,Published,01:30
02. Datos del Cliente \Client Information,Gathering essential details about the client for the audit.,Audit Prep,,Published,01:30
02.1 Contacto \Contact,Specific contact information for the client.,Audit Prep,,Published,01:30
03. Documentos Legales \Legal Documents,Collecting legal documents relevant to the business and tax situation.,Audit Prep,,Published,01:30
03.1 Acuerdos \Operating,Gathering operating agreements or partnership agreements.,Audit Prep,,Published,01:30
03.2 CP575 EIN IRS \IRS CP575 EIN,Obtaining the official IRS letter confirming the EIN.,Audit Prep,,Published,01:30
03.3 Comunicaciones Estatales \State Correspondence,Collecting any communication from state tax authorities.,Audit Prep,,Published,01:30
03.4 Licencias y permisos \Licenses & permits,Gathering relevant business licenses and permits.,Audit Prep,,Published,01:30
03.5 Registros estatales anuales \Annual state filings,Obtaining annual reports or filings made with the state.,Audit Prep,,Published,01:30
04. Ingresos \Income,Gathering documentation related to the business's income.,Audit Prep,,Published,01:30
04.1 Inusual Ingresos \Unusual Income,Identifying and documenting any non-recurring or unusual income items.,Audit Prep,,Published,01:30
"04.2 Facturas, Reportes POS \Invoices, POS Reports",Collecting invoices issued and reports from point-of-sale systems.,Audit Prep,,Published,01:30
"04.3 Formas \Forms 1099-NEC, MISC, K, INT, DIV",Gathering all relevant income-reporting forms.,Audit Prep,,Published,01:30
04.4 Conciliacian de ingresos \Income reconciliation,Reconciling reported income with bank deposits and other records.,Audit Prep,,Published,01:30
04.5 Revisar discrepancias 1099 (si hay) \Review 1099 discrepancies (if any),Identifying and investigating any differences between client records and 1099s.,Audit Prep,,Published,01:30
05. Gastos \Expenses,Gathering documentation related to the business's expenses.,Audit Prep,,Published,01:30
05.1 Gastos Inusuales \Unusual Expenses,Identifying and documenting any non-recurring or unusual expense items.,Audit Prep,,Published,02:30
05.2 Gastos Compartidos \Shared Expenses,Documenting expenses shared between business and personal use.,Audit Prep,,Published,01:30
05.3 Pruebas de Pagos \Proof of payment,Collecting evidence that expenses were actually paid.,Audit Prep,,Published,01:30
06. Nomina \Payroll,Gathering documentation related to employee payroll.,Audit Prep,,Published,01:30
06.1 Talones de Pagos \Check Stubs,Collecting pay stubs for employees.,Audit Prep,,Published,01:30
"06.2 Contratos y formas I-9, W-4 \Contracts, I-9s, W-4s",Gathering employment contracts and employee tax forms.,Audit Prep,,Published,01:30
"06.3 Forma W-2, W-3, 941, 940 \forms",Collecting employer payroll tax forms.,Audit Prep,,Published,01:30
06.4 Informes Nomina \Payroll Reports,Gathering reports from payroll processing services.,Audit Prep,,Published,01:30
07. Contratistas y 1099s \Contractors and 1099s,Gathering documentation related to independent contractors.,Audit Prep,,Published,02:30
07.1 Formas W-9 y Contratos \Contracts & Form W9s,Collecting W-9 forms and service agreements for contractors.,Audit Prep,,Published,01:30
07.2 Resumen de pagos y 1099s emitidosSummarizing payments made to contractors and 1099s issued.,"1099 summary, contractor payments, information returns",Audit Prep,,Published,02:30
08. Uso Vehiculo \Vehicle Use,Gathering documentation for business vehicle expenses.,Audit Prep,,Published,01:30
08.1 Depreciacian de Vehiculo \Vehicle Depreciation,Calculating and documenting vehicle depreciation.,Audit Prep,,Published,01:30
08.2 Gastos Reales de Auto \Actual Auto Expenses,"Documenting actual expenses like gas, and maintenance., insurance",Audit Prep,,Published,02:30
08.3 Propiedad o Arrendamiento \Proof of Ownership/Lease,Providing documentation of vehicle ownership or lease agreement.,Audit Prep,,Published,01:30
08.4 Kilometraje Detallado \Mileage log,Maintaining a detailed log of business vehicle mileage.,Audit Prep,,Published,01:30
09. Oficina en Casa \Home Office,Gathering documentation for home office deductions.,Audit Prep,,Published,01:30
09.1 Calculos de Oficina de Casa \Home Office Calculations,Performing calculations for the allowable home office deduction.,Audit Prep,,Published,01:30
09.2 Declaración de Uso Exclusivo \Statement of exclusive use,Documenting that the home office space is used exclusively for business.,Audit Prep,,Published,02:30
09.3 Fotos de Oficina de Casa \Home Office Photos,Providing visual evidence of the home office space.,Audit Prep,,Published,01:30
09.4 Gastos de Utilidades \Utilities Expense,Documenting utility expenses for the home.,Audit Prep,,Published,01:30
09.5 Medidas Hogar y Oficina \Home and Office Dimensions,Recording the square footage of the home and the office space.,Audit Prep,,Published,01:30
10. Impuestos \Taxes,Gathering copies of the client's tax returns and related forms.,Audit Prep,,Published,01:30
